x_px,y_px
179.317337,0.000000
179.316736,1.000000
179.314894,2.000000
179.311753,3.000000
179.307253,4.000000
179.301336,5.000000
179.293944,6.000000
179.285017,7.000000
179.274496,8.000000
179.262324,9.000000
179.248441,10.000000
179.232789,11.000000
179.215308,12.000000
179.195941,13.000000
179.174628,14.000000
179.151311,15.000000
179.125931,16.000000
179.098430,17.000000
179.068747,18.000000
179.036826,19.000000
179.002607,20.000000
178.966031,21.000000
178.927040,22.000000
178.885575,23.000000
178.841577,24.000000
178.794988,25.000000
178.745748,26.000000
178.693800,27.000000
178.639084,28.000000
178.581542,29.000000
178.521114,30.000000
178.457743,31.000000
178.391369,32.000000
178.321935,33.000000
178.249380,34.000000
178.173646,35.000000
178.094675,36.000000
178.012408,37.000000
177.926786,38.000000
177.837751,39.000000
177.745243,40.000000
177.649205,41.000000
177.549576,42.000000
177.446300,43.000000
177.339316,44.000000
177.228566,45.000000
177.113992,46.000000
176.995534,47.000000
176.873134,48.000000
176.746734,49.000000
176.616274,50.000000
176.481696,51.000000
176.342941,52.000000
176.199951,53.000000
176.052666,54.000000
175.901028,55.000000
175.744978,56.000000
175.584458,57.000000
175.419408,58.000000
175.249771,59.000000
175.075487,60.000000
174.896497,61.000000
174.712744,62.000000
174.524167,63.000000
174.330709,64.000000
174.132311,65.000000
173.928914,66.000000
173.720459,67.000000
173.506888,68.000000
173.288141,69.000000
173.064161,70.000000
172.834888,71.000000
172.600264,72.000000
172.360230,73.000000
172.114727,74.000000
171.863696,75.000000
171.607080,76.000000
171.344818,77.000000
171.048096,78.000000
170.747101,79.000000
170.441948,80.000000
170.132736,81.000000
169.819580,82.000000
169.502579,83.000000
169.181862,84.000000
168.857536,85.000000
168.529732,86.000000
168.198578,87.000000
167.864204,88.000000
167.526718,89.000000
167.186295,90.000000
166.843025,91.000000
166.497055,92.000000
166.148529,93.000000
165.797577,94.000000
165.444305,95.000000
165.088829,96.000000
164.731270,97.000000
164.371742,98.000000
164.010376,99.000000
163.647255,100.000000
163.282433,101.000000
162.916016,102.000000
162.548096,103.000000
162.178734,104.000000
161.808006,105.000000
161.435959,106.000000
161.062607,107.000000
160.687996,108.000000
160.312164,109.000000
159.935143,110.000000
159.556915,111.000000
159.177483,112.000000
158.796837,113.000000
158.414948,114.000000
158.031822,115.000000
157.647400,116.000000
157.261658,117.000000
156.874557,118.000000
156.486046,119.000000
156.096069,120.000000
155.704544,121.000000
155.311447,122.000000
154.916710,123.000000
154.520241,124.000000
154.122009,125.000000
153.721893,126.000000
153.319839,127.000000
152.915810,128.000000
152.509697,129.000000
152.101463,130.000000
151.691002,131.000000
151.278275,132.000000
150.863205,133.000000
150.445709,134.000000
150.025772,135.000000
149.603302,136.000000
149.178261,137.000000
148.750603,138.000000
148.320274,139.000000
147.887245,140.000000
147.451469,141.000000
147.012909,142.000000
146.571564,143.000000
146.127419,144.000000
145.680412,145.000000
145.230560,146.000000
144.777870,147.000000
144.322334,148.000000
143.863953,149.000000
143.402771,150.000000
142.938789,151.000000
142.472046,152.000000
142.002563,153.000000
141.530388,154.000000
141.055557,155.000000
140.578156,156.000000
140.098228,157.000000
139.615883,158.000000
139.131172,159.000000
138.644211,160.000000
138.155083,161.000000
137.663918,162.000000
137.170822,163.000000
136.675949,164.000000
136.179432,165.000000
135.681435,166.000000
135.182106,167.000000
134.681633,168.000000
134.180214,169.000000
133.678032,170.000000
133.175304,171.000000
132.672245,172.000000
132.169098,173.000000
131.666100,174.000000
131.163498,175.000000
130.661568,176.000000
130.160572,177.000000
129.660793,178.000000
129.162521,179.000000
128.666061,180.000000
128.171700,181.000000
127.679756,182.000000
127.190533,183.000000
126.704342,184.000000
126.221523,185.000000
125.742397,186.000000
125.267277,187.000000
124.796467,188.000000
124.330299,189.000000
123.869099,190.000000
123.413158,191.000000
122.962795,192.000000
122.518303,193.000000
122.079967,194.000000
121.648079,195.000000
121.222897,196.000000
120.804680,197.000000
120.393684,198.000000
119.990143,199.000000
119.594280,200.000000
119.206299,201.000000
118.826393,202.000000
118.454731,203.000000
118.091480,204.000000
117.736797,205.000000
117.390793,206.000000
117.053600,207.000000
116.725307,208.000000
116.406010,209.000000
116.095776,210.000000
115.794643,211.000000
115.502666,212.000000
115.219879,213.000000
114.946304,214.000000
114.681927,215.000000
114.426750,216.000000
114.180748,217.000000
113.943913,218.000000
113.716190,219.000000
113.497547,220.000000
113.287945,221.000000
113.087318,222.000000
112.895618,223.000000
112.712765,224.000000
112.538700,225.000000
112.373352,226.000000
112.216671,227.000000
112.068569,228.000000
111.928970,229.000000
111.797817,230.000000
111.675034,231.000000
111.560562,232.000000
111.454304,233.000000
111.356209,234.000000
111.266216,235.000000
111.184265,236.000000
111.110306,237.000000
111.044262,238.000000
110.986076,239.000000
110.935719,240.000000
110.893127,241.000000
110.858273,242.000000
110.831100,243.000000
110.811577,244.000000
110.799656,245.000000
110.795303,246.000000
110.798492,247.000000
110.809193,248.000000
110.827377,249.000000
110.853024,250.000000
110.886108,251.000000
110.926613,252.000000
110.974529,253.000000
111.029835,254.000000
111.092514,255.000000
111.162586,256.000000
111.240021,257.000000
111.324825,258.000000
111.416992,259.000000
111.516544,260.000000
111.623486,261.000000
111.737839,262.000000
111.859600,263.000000
111.988800,264.000000
112.125454,265.000000
112.269588,266.000000
112.421246,267.000000
112.580460,268.000000
112.747272,269.000000
112.921696,270.000000
113.103809,271.000000
113.293644,272.000000
113.491257,273.000000
113.696697,274.000000
113.910023,275.000000
114.131287,276.000000
114.360538,277.000000
114.597851,278.000000
114.843269,279.000000
115.096870,280.000000
115.358681,281.000000
115.628780,282.000000
115.907211,283.000000
116.194023,284.000000
116.489265,285.000000
116.792984,286.000000
117.105202,287.000000
117.425941,288.000000
117.755238,289.000000
118.093105,290.000000
118.439556,291.000000
118.794575,292.000000
119.158161,293.000000
119.530293,294.000000
119.910938,295.000000
120.300056,296.000000
120.697601,297.000000
121.103512,298.000000
121.517708,299.000000
121.940102,300.000000
122.370602,301.000000
122.809105,302.000000
123.255470,303.000000
123.709583,304.000000
124.171310,305.000000
124.640491,306.000000
125.116970,307.000000
125.600563,308.000000
126.091106,309.000000
126.588406,310.000000
127.092266,311.000000
127.602478,312.000000
128.118855,313.000000
128.641159,314.000000
129.169189,315.000000
129.702717,316.000000
130.241524,317.000000
130.785378,318.000000
131.334049,319.000000
131.887325,320.000000
132.444965,321.000000
133.006752,322.000000
133.572475,323.000000
134.141899,324.000000
134.714809,325.000000
135.290997,326.000000
135.870266,327.000000
136.452415,328.000000
137.037231,329.000000
137.624557,330.000000
138.214188,331.000000
138.805969,332.000000
139.399727,333.000000
139.995308,334.000000
140.592552,335.000000
141.191307,336.000000
141.791435,337.000000
142.392807,338.000000
142.995308,339.000000
143.598816,340.000000
144.203247,341.000000
144.808464,342.000000
145.414375,343.000000
146.020874,344.000000
146.627869,345.000000
147.235275,346.000000
147.843025,347.000000
148.451012,348.000000
149.059189,349.000000
149.667473,350.000000
150.275780,351.000000
150.884026,352.000000
151.492165,353.000000
152.100105,354.000000
152.707779,355.000000
153.315125,356.000000
153.922050,357.000000
154.528519,358.000000
155.134430,359.000000
155.739723,360.000000
156.344292,361.000000
156.948067,362.000000
157.550980,363.000000
158.152939,364.000000
158.753868,365.000000
159.353676,366.000000
159.952286,367.000000
160.549606,368.000000
161.145538,369.000000
161.740013,370.000000
162.332893,371.000000
162.924110,372.000000
163.513565,373.000000
164.101158,374.000000
164.686760,375.000000
165.270294,376.000000
165.851662,377.000000
166.430756,378.000000
167.007477,379.000000
167.581688,380.000000
168.153282,381.000000
168.722137,382.000000
169.288193,383.000000
169.851280,384.000000
170.411316,385.000000
170.968155,386.000000
171.521713,387.000000
172.071831,388.000000
172.618393,389.000000
173.161270,390.000000
173.700363,391.000000
174.235497,392.000000
174.766556,393.000000
175.293434,394.000000
175.815964,395.000000
176.334015,396.000000
176.847435,397.000000
